NatEmis|GIS_Longitude|GIS_Latitude
200300002|28.14426|-32.33786
200300003|28.06967|-32.46466
200300717|28.26157|-32.53724
200300006|28.32171|-32.36663
200300007|28.28382|-32.52048
200300012|28.0974|-32.4041
200300013|28.43034|-32.38164
200300016|28.4103|-32.42318
200300018|28.04417|-32.41304
200300019|28.0817|-32.30957
200300869|28.20467|-32.35198
200300763|28.00154|-32.30481
200300022|27.77048|-32.22129
200300793|28.20445|-32.24149
200300024|27.9774|-32.224
200300023|27.98272|-32.22691
200300033|28.06627|-32.19554
200300036|28.19369|-32.38926
200300742|28.18315|-32.25034
200300721|28.23686|-32.38034
200300038|28.38901|-32.31238
200300863|28.14236|-32.32685
200300741|28.14162|-32.33266
200300039|28.1906|-32.27349
200300041|28.2893|-32.2661
200300042|28.15533|-32.32582
200300043|28.53019|-32.52044
200300044|28.0431|-32.33802
200300046|28.07237|-32.37376
200300048|28.33358|-32.34379
200300053|27.97343|-32.37702
200300054|28.1653|-32.33959
200300056|28.38233|-32.41424
200300057|28.06635|-32.39352
200300736|27.9827|-32.39445
200300059|27.86075|-32.25516
200300060|28.27951|-32.55629
200300062|28.13135|-32.34344
200300064|28.22567|-32.52393
200300065|28.50656|-32.45687
200300066|27.80874|-32.11018
200300067|28.16931|-32.50671
200300069|28.03296|-32.47854
200300071|28.40357|-32.48832
200300073|27.93096|-32.1358
200300757|28.32991|-32.39319
200300030|28.15335|-32.32904
200300743|28.15784|-32.29363
200300082|28.14907|-32.32673
200300873|28.155261|-32.332705
200300083|28.12616|-32.38056
200300084|28.2139|-32.2985
200300789|28.18519|-32.37604
200300092|28.004017|-32.170777
200300788|28.45932|-32.45294
200300744|28.19057|-32.21416
200300093|28.19153|-32.13779
200300879|28.151361|-32.321858
200300882|.|.
200300101|28.03976|-32.44402
200300103|28.01483|-32.33064
200300105|28.4514|-32.0497
200300107|28.62794|-32.4613
200300110|27.85131|-32.15736
200300787|28.28632|-32.46637
200300805|28.28077|-32.45159
200300112|28.39384|-32.44631
200300114|27.88193|-32.24399
200300031|28.14402|-32.32754
200300864|28.18673|-32.31895
200300731|28.07742|-32.20201
200300117|28.56707|-32.46999
200300118|28.10811|-32.11898
200300119|28.0393|-32.13974
200300120|27.80463|-32.3656
200300122|28.32999|-32.21705
200300123|28.29183|-32.2151
200300124|28.31808|-32.35585
200300126|27.79218|-32.28567
200300131|27.82817|-32.2331
200300877|28.20053|-32.33228
200300136|28.18224|-32.45257
200300137|28.16735|-32.10563
200300138|28.41963|-32.47365
200300139|28.5056|-32.5501
200300141|28.20043|-32.29207
200300145|28.25194|-32.50248
200300146|28.24118|-32.45682
200300147|28.19416|-32.39494
200300149|28.422241|-32.5974
200300150|28.10256|-32.30482
200300151|28.10624|-32.27801
200300723|28.1915|-32.44952
200300152|28.11573|-32.1527
200300155|28.15345|-32.2604
200300156|28.1675|-32.16827
200300157|28.05735|-32.09768
200300158|28.01327|-32.49239
200300160|28.28765|-32.46764
200300162|27.79268|-32.34811
200300165|27.91623|-32.28984
200300166|27.9855|-32.3239
200300169|27.9924|-32.4466
200300171|28.22801|-32.43615
200300099|.|.
200300176|28.50712|-32.42036
200300177|28.37079|-32.42641
200300738|28.073|-32.27542
200300178|28.28545|-32.47899
200300179|28.07017|-32.3967
200300045|28.20296|-32.30967
200300181|28.19107|-32.23205
200300182|28.2118|-32.30281
200300183|27.88113|-32.35365
200300185|28.05367|-32.46791
200300779|28.30776|-32.46052
200300186|28.48849|-32.56529
200300187|28.29019|-32.41597
200300188|28.14513|-32.16079
200300189|28.38048|-32.41652
200300191|28.22483|-32.56344
200300193|27.97245|-32.08942
200300197|27.82869|-32.30153
200300196|28.20959|-32.21686
200300198|28.11119|-32.2606
200300876|27.9411|-32.20479
200300201|27.9396|-32.28012
200300203|27.92044|-32.09013
200300782|28.12881|-32.34331
200300205|27.94771|-32.34879
200300206|28.20456|-32.31235
200300211|28.03249|-32.36568
200300212|28.39323|-32.51236
200300821|28.13055|-32.20789
200300214|28.17543|-32.21556
200300215|28.22212|-32.16114
200300760|27.9855|-32.3239
200300865|28.14273|-32.32864
200300729|27.99566|-32.28648
200300220|28.08653|-32.37946
200300228|27.82355|-32.28088
200300231|27.82365|-32.19466
200300232|28.08038|-32.24188
200300233|27.76168|-32.35787
200300238|27.9407|-32.134724
200300239|28.11504|-32.32725
200300240|27.94668|-32.20501
200300241|28.3297|-32.58818
200300245|28.19175|-32.05751
200300249|28.48765|-32.47271
200300254|27.9726|-32.37567
200300256|28.23049|-32.38969
200300257|28.33002|-32.48332
200300258|28.32931|-32.48283
200300822|27.91032|-32.32021
200300259|28.08363|-32.46037
200300263|28.273567|-32.224367
200300264|28.2817|-32.49019
200300265|27.92531|-32.3456
200300880|27.8812|-32.3552
200300266|27.90071|-32.12994
200300269|28.29085|-32.2308
200300270|27.977|-32.46394
200300272|28.28173|-32.33101
200300274|28.40195|-32.60015
200300275|28.19387|-32.19307
200300277|28.46651|-32.44215
200300280|28.22673|-32.14034
200300282|28.0054|-32.46051
200300283|28.43236|-32.59593
200300285|28.23437|-32.41346
200300286|28.31939|-32.3377
200300287|28.52351|-32.44538
200300290|28.11796|-32.06679
200300730|27.85697|-32.13281
200300291|28.32179|-32.54686
200300292|28.48479|-32.58492
200300294|28.34487|-32.4153
200300296|27.99506|-32.063
200300297|28.28238|-32.20951
200300298|27.91751|-32.24974
200300712|28.2394|-32.3315
200300303|27.8934|-32.23286
200300305|27.7978|-32.21558
200300308|27.87094|-32.29109
200300309|28.05769|-32.50244
200300316|28.53269|-32.33548
200300848|28.49001|-32.3638
200300846|28.48182|-32.34381
200300321|28.32777|-32.27022
200300326|28.19442|-32.17404
200300327|28.33716|-32.49788
200300328|28.06728|-32.29008
200300329|28.03616|-32.2695
200300330|28.55889|-32.40722
200300337|28.53709|-32.35776
200300344|28.01098|-32.11797
200300355|27.99145|-32.14241
200300356|28.1618|-32.1284
200300357|28.04428|-32.30216
200300358|28.42849|-32.57975
200300361|28.03676|-32.19584
200300362|28.09925|-32.36203
200300814|28.31622|-32.52312
200300363|28.11271|-32.25517
200300368|27.87832|-32.33232
200300369|28.01231|-32.28447
200300371|28.26131|-32.4832
200300373|28.1107|-32.4228
200300838|27.92984|-32.40816
200300375|28.09972|-32.46411
200300811|28.3|-32.53148
200300381|28.17583|-32.32393
200300383|28.14793|-32.10361
200300382|28.11673|-32.19994
200300386|27.80577|-32.13109
200300387|28.05596|-32.39584
200300715|28.19325|-32.41581
200300393|27.98063|-32.19155
200300397|28.48441|-32.53909
200300398|27.85267|-32.18679
200300399|27.88019|-32.18027
200300401|28.21433|-32.31028
200300402|28.13759|-32.24651
200300403|28.0827|-32.3606
200300405|28.10829|-32.44396
200300406|28.00583|-32.41095
200300411|28.7356|-32.32346
200300778|28.50997|-32.48797
200300413|28.06219|-32.27311
200300414|28.41845|-32.55422
200300415|27.821567|-32.361517
200300416|27.89445|-32.15635
200300418|27.99828|-32.39163
200300420|28.03001|-32.34706
200300421|27.907|-32.26367
200300423|27.90791|-32.288
200300425|28.52607|-32.49652
200300427|28.44268|-32.4012
200300428|28.11461|-32.39131
200300438|28.3062|-32.42176
200300439|28.44362|-32.34613
200300508|28.43768|-32.5307
200300441|28.55551|-32.43478
200300443|28.0004|-32.291
